company_name(s),dead_url,error_or_status,confidence_dead,working_alternate,alternate_type
"Glengoole Parent, Baby & Toddler Group",https://mfrc.ie/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://mfrc.com/,DIFFERENT DOMAIN - verify it is the same business
"Gorey Parent, Baby and Toddler Group",https://gyng.ie/wp/yolos/parent-and-toddler/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://gyng.com/wp/yolos/parent-and-toddler/,DIFFERENT DOMAIN - verify it is the same business
"Little Folk Music for Babies, Toddlers & Young Children",https://kylejamesriley.com/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",http://kylejamesriley.com/,same domain (safe)
Little Learners Holistics,https://totsspots.com/listing/little-learners-holistics/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",http://totsspots.com/listing/little-learners-holistics/,same domain (safe)
Mooncoin Kilkenny - Baby & Toddler Group,https://totsspots.com/listing/mooncoin-kilkenny-baby-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",http://totsspots.com/listing/mooncoin-kilkenny-baby-toddler-group/,same domain (safe)
"Moyvane Parent, Baby & Toddler Group",https://totsspots.com/listing/moyvane-parent-baby-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",http://totsspots.com/listing/moyvane-parent-baby-toddler-group/,same domain (safe)
North Wexford Parent and Toddler Group,https://totsspots.com/listing/north-wexford-parent-and-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/north-wexford-parent-and-toddler-group/,same domain (safe)
Philipstown Baby and Toddler Group,https://totsspots.com/listing/philipstown-baby-and-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",http://totsspots.com/listing/philipstown-baby-and-toddler-group/,same domain (safe)
Rathanna Parent & Toddler Group/ Walking Group Carlow,https://totsspots.com/listing/rathanna-parent-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",https://www.totsspots.com/listing/rathanna-parent-toddler-group/,same domain (safe)
Renmore Parent Baby & Toddler Group,https://totsspots.com/listing/renmore-parent-baby-toddler-group/,The read operation timed out,"LOW-MEDIUM - timed out, could be slow server or genuinely down",http://totsspots.com/listing/renmore-parent-baby-toddler-group/,same domain (safe)
